epoch,train_loss,val_loss,val_acc,val_miou,best_val_miou,checkpoint_saved
1,1.791648,1.588643,0.478128,0.238000,0.238000,True
2,1.523424,1.376429,0.632045,0.368861,0.368861,True
3,1.390667,1.254832,0.688072,0.410925,0.410925,True
4,1.286361,1.162640,0.713610,0.439067,0.439067,True
5,1.211304,1.068198,0.717299,0.435351,0.439067,False
6,1.130309,0.998331,0.736557,0.452018,0.452018,True
7,1.085485,0.992936,0.729726,0.444197,0.452018,False
8,1.030737,0.912527,0.743030,0.456713,0.456713,True
9,0.990328,0.910829,0.753736,0.464227,0.464227,True
10,0.958186,0.892483,0.749199,0.460251,0.464227,False
11,0.908018,0.828885,0.764001,0.475927,0.475927,True
12,0.887211,0.814886,0.761289,0.475742,0.475927,False
13,0.847048,0.787128,0.767132,0.501040,0.501040,True
14,0.824129,0.758389,0.785101,0.512876,0.512876,True
15,0.804706,0.761327,0.769408,0.494278,0.512876,False
16,0.781396,0.718088,0.793378,0.550380,0.550380,True
17,0.752750,0.750872,0.778797,0.549823,0.550380,False
18,0.743507,0.739635,0.780886,0.549933,0.550380,False
19,0.696649,0.705837,0.790962,0.577653,0.577653,True
20,0.685731,0.714409,0.783044,0.557174,0.577653,False
21,0.677035,0.678347,0.793505,0.577793,0.577793,True
22,0.644036,0.707577,0.783755,0.567703,0.577793,False
23,0.634449,0.752871,0.758120,0.524247,0.577793,False
24,0.628645,0.639553,0.807439,0.595507,0.595507,True
25,0.612069,0.643107,0.801993,0.594518,0.595507,False
26,0.596577,0.632005,0.810723,0.605899,0.605899,True
27,0.580173,0.688142,0.785627,0.571996,0.605899,False
28,0.574196,0.647701,0.800201,0.583581,0.605899,False
29,0.556758,0.650358,0.796345,0.587985,0.605899,False
30,0.532229,0.630709,0.806093,0.582893,0.605899,False
31,0.516060,0.662080,0.792445,0.564958,0.605899,False
32,0.523941,0.629328,0.802486,0.585619,0.605899,False
33,0.481843,0.631282,0.803051,0.587014,0.605899,False
34,0.474340,0.603303,0.812535,0.594431,0.605899,False
35,0.471944,0.632998,0.805019,0.583731,0.605899,False
36,0.456559,0.635332,0.800896,0.588022,0.605899,False
37,0.437319,0.644445,0.796562,0.568001,0.605899,False
38,0.438637,0.644406,0.797894,0.580744,0.605899,False
39,0.421418,0.644573,0.798810,0.583998,0.605899,False
40,0.423785,0.596469,0.809074,0.608750,0.608750,True
41,0.407708,0.751865,0.762907,0.530857,0.608750,False
42,0.401205,0.604870,0.809266,0.581643,0.608750,False
43,0.379656,0.621404,0.803080,0.566348,0.608750,False
44,0.373941,0.660182,0.795517,0.575750,0.608750,False
45,0.378346,0.641880,0.797404,0.569406,0.608750,False
46,0.363867,0.624917,0.804460,0.580802,0.608750,False
47,0.351798,0.628445,0.806155,0.588757,0.608750,False
48,0.346870,0.674786,0.793449,0.573165,0.608750,False
49,0.344544,0.692881,0.788330,0.568657,0.608750,False
50,0.347184,0.663740,0.793525,0.564728,0.608750,False
