epoch,train_loss,val_loss,val_acc,val_miou,best_val_miou,checkpoint_saved
1,0.799163,0.730297,0.427105,0.210797,0.210797,True
2,0.727480,0.698531,0.510247,0.314625,0.314625,True
3,0.684413,0.613142,0.685269,0.421405,0.421405,True
4,0.639850,0.587393,0.722211,0.444466,0.444466,True
5,0.610830,0.588297,0.701834,0.423538,0.444466,False
6,0.577518,0.520609,0.732287,0.450744,0.450744,True
7,0.550919,0.513256,0.724163,0.445051,0.450744,False
8,0.521029,0.468910,0.756123,0.470695,0.470695,True
9,0.500740,0.450359,0.758511,0.470373,0.470695,False
10,0.483940,0.453006,0.744577,0.460422,0.470695,False
11,0.458176,0.410399,0.761905,0.475650,0.475650,True
12,0.446358,0.402532,0.770801,0.507298,0.507298,True
13,0.422314,0.396533,0.770072,0.536003,0.536003,True
14,0.409825,0.360539,0.789998,0.571324,0.571324,True
15,0.395680,0.382399,0.765960,0.540559,0.571324,False
16,0.393212,0.338952,0.795251,0.580542,0.580542,True
17,0.381475,0.342351,0.784684,0.555918,0.580542,False
18,0.374764,0.343949,0.782010,0.551750,0.580542,False
19,0.345071,0.327500,0.795201,0.578883,0.580542,False
20,0.339437,0.317318,0.793065,0.564411,0.580542,False
21,0.341060,0.313441,0.798484,0.573950,0.580542,False
22,0.321293,0.304983,0.793698,0.564822,0.580542,False
23,0.308747,0.316347,0.776823,0.568015,0.580542,False
24,0.310443,0.304222,0.792017,0.558903,0.580542,False
25,0.301742,0.301414,0.789251,0.554391,0.580542,False
26,0.301597,0.290919,0.800509,0.579603,0.580542,False
27,0.294001,0.296039,0.793705,0.561909,0.580542,False
28,0.285922,0.276144,0.814684,0.590765,0.590765,True
29,0.283907,0.271186,0.811411,0.590310,0.590765,False
30,0.275722,0.271326,0.809856,0.591603,0.591603,True
31,0.263338,0.301423,0.765064,0.543274,0.591603,False
32,0.286559,0.284365,0.797632,0.570462,0.591603,False
33,0.249521,0.279793,0.798414,0.581248,0.591603,False
34,0.257782,0.296038,0.780939,0.557070,0.591603,False
35,0.248339,0.273928,0.800259,0.584367,0.591603,False
36,0.247670,0.284452,0.793658,0.568580,0.591603,False
37,0.243243,0.268821,0.798184,0.562283,0.591603,False
38,0.238965,0.271546,0.800063,0.575663,0.591603,False
39,0.234096,0.253900,0.814784,0.600879,0.600879,True
40,0.234000,0.265012,0.805038,0.584467,0.600879,False
41,0.222825,0.268575,0.801806,0.571921,0.600879,False
42,0.219169,0.253683,0.815408,0.604880,0.604880,True
43,0.227775,0.263756,0.801225,0.576852,0.604880,False
44,0.217520,0.257685,0.811595,0.607424,0.607424,True
45,0.220325,0.255871,0.808468,0.585346,0.607424,False
46,0.208934,0.266621,0.805036,0.599942,0.607424,False
47,0.226073,0.246407,0.823894,0.617923,0.617923,True
48,0.213172,0.259753,0.810471,0.595263,0.617923,False
49,0.199742,0.257232,0.809831,0.594605,0.617923,False
50,0.208746,0.261700,0.809380,0.590941,0.617923,False
